repo	path	pat_split	pat_newline	total
Archivator_Agent	Archivator_Agent/Archive/Transfers/RADRILONIUMA-PROJECT/QUARANTINE_TRANSFER_20260303T102413Z/Quarantine/LRPT_NON_DEVKIT_20260303T090515Z/healing_tools/segmenter_chronicler.py	1	1	2
Aristos	Aristos/devkit/devkit/healing_tools/segmenter_chronicler.py	1	1	2
Aristos	Aristos/devkit/healing_tools/segmenter_chronicler.py	1	1	2
Ayaearias-Triania	Ayaearias-Triania/devkit/healing_tools/segmenter_chronicler.py	1	1	2
Ayaearias-Triania	Ayaearias-Triania/map/devkit/devkit/healing_tools/segmenter_chronicler.py	1	1	2
Ayaearias-Triania	Ayaearias-Triania/map/devkit/healing_tools/segmenter_chronicler.py	1	1	2
CORE	CORE/devkit/healing_tools/segmenter_chronicler.py	1	1	2
CORE	CORE/map/devkit/devkit/healing_tools/segmenter_chronicler.py	1	1	2
CORE	CORE/map/devkit/healing_tools/segmenter_chronicler.py	1	1	2
Croambeth	Croambeth/devkit/devkit/healing_tools/segmenter_chronicler.py	1	1	2
Croambeth	Croambeth/devkit/healing_tools/segmenter_chronicler.py	1	1	2
J.A.R.V.I.S	J.A.R.V.I.S/devkit/healing_tools/segmenter_chronicler.py	1	1	2
J.A.R.V.I.S	J.A.R.V.I.S/map/devkit/devkit/healing_tools/segmenter_chronicler.py	1	1	2
J.A.R.V.I.S	J.A.R.V.I.S/map/devkit/healing_tools/segmenter_chronicler.py	1	1	2
Kitora	Kitora/devkit/devkit/healing_tools/segmenter_chronicler.py	1	1	2
Kitora	Kitora/devkit/healing_tools/segmenter_chronicler.py	1	1	2
LAM	LAM/devkit/healing_tools/segmenter_chronicler.py	1	1	2
LAM-Codex_Agent	LAM-Codex_Agent/devkit/healing_tools/segmenter_chronicler.py	1	1	2
LAM-Codex_Agent	LAM-Codex_Agent/map/devkit/devkit/healing_tools/segmenter_chronicler.py	1	1	2
LAM-Codex_Agent	LAM-Codex_Agent/map/devkit/healing_tools/segmenter_chronicler.py	1	1	2
LAM_Comunication_Agent	LAM_Comunication_Agent/devkit/healing_tools/segmenter_chronicler.py	1	1	2
LAM_Comunication_Agent	LAM_Comunication_Agent/map/devkit/devkit/healing_tools/segmenter_chronicler.py	1	1	2
LAM_Comunication_Agent	LAM_Comunication_Agent/map/devkit/healing_tools/segmenter_chronicler.py	1	1	2
Operator_Agent	Operator_Agent/map/devkit/devkit/healing_tools/segmenter_chronicler.py	1	1	2
Operator_Agent	Operator_Agent/map/devkit/healing_tools/segmenter_chronicler.py	1	1	2
Roaudter-agent	Roaudter-agent/devkit/healing_tools/segmenter_chronicler.py	1	1	2
Roaudter-agent	Roaudter-agent/map/devkit/devkit/healing_tools/segmenter_chronicler.py	1	1	2
Roaudter-agent	Roaudter-agent/map/devkit/healing_tools/segmenter_chronicler.py	1	1	2
System-	System-/devkit/healing_tools/segmenter_chronicler.py	1	1	2
System-	System-/map/devkit/devkit/healing_tools/segmenter_chronicler.py	1	1	2
System-	System-/map/devkit/healing_tools/segmenter_chronicler.py	1	1	2
TRIANIUMA_DATA_BASE	TRIANIUMA_DATA_BASE/devkit/healing_tools/segmenter_chronicler.py	1	1	2
TRIANIUMA_DATA_BASE	TRIANIUMA_DATA_BASE/map/devkit/devkit/healing_tools/segmenter_chronicler.py	1	1	2
TRIANIUMA_DATA_BASE	TRIANIUMA_DATA_BASE/map/devkit/healing_tools/segmenter_chronicler.py	1	1	2
Taspit	Taspit/devkit/devkit/healing_tools/segmenter_chronicler.py	1	1	2
Taspit	Taspit/devkit/healing_tools/segmenter_chronicler.py	1	1	2
Trianiuma	Trianiuma/devkit/healing_tools/segmenter_chronicler.py	1	1	2
Trianiuma	Trianiuma/map/devkit/devkit/healing_tools/segmenter_chronicler.py	1	1	2
Trianiuma	Trianiuma/map/devkit/healing_tools/segmenter_chronicler.py	1	1	2
Trianiuma_MEM_CORE	Trianiuma_MEM_CORE/devkit/healing_tools/segmenter_chronicler.py	1	1	2
Trianiuma_MEM_CORE	Trianiuma_MEM_CORE/map/devkit/devkit/healing_tools/segmenter_chronicler.py	1	1	2
Trianiuma_MEM_CORE	Trianiuma_MEM_CORE/map/devkit/healing_tools/segmenter_chronicler.py	1	1	2
Vilami	Vilami/devkit/devkit/healing_tools/segmenter_chronicler.py	1	1	2
Vilami	Vilami/devkit/healing_tools/segmenter_chronicler.py	1	1	2
